iter	Passed	Remaining
0	1236	1235740
1	1597	797043
2	1989	661049
3	2358	587192
4	2749	547196
5	3109	515063
6	3546	503056
7	3905	484333
8	4241	467019
9	4550	450530
10	4863	437293
11	5274	434302
12	5674	430835
13	6018	423864
14	6396	420019
15	6741	414610
16	7055	407956
17	7446	406247
18	7929	409413
19	8344	408895
20	8706	405911
21	9102	404628
22	9462	401941
23	9818	399274
24	10192	397520
25	10568	395899
26	10955	394805
27	11524	400072
28	11923	399243
29	12296	397586
30	12646	395316
31	12951	391796
32	13282	389208
33	13593	386212
34	13892	383040
35	14194	380088
36	14574	379330
37	14858	376143
38	15236	375433
39	15569	373675
40	16001	374271
41	16371	373415
42	16706	371820
43	17046	370382
44	17352	368267
45	17701	367114
46	18031	365611
47	18333	363609
48	18656	362097
49	19077	362465
50	19429	361537
51	19981	364273
52	20333	363310
53	20711	362842
54	21065	361944
55	21398	360715
56	21790	360505
57	22172	360104
58	22502	358901
59	22853	358041
60	23210	357291
61	23572	356635
62	23909	355605
63	24319	355678
64	24637	354396
65	25056	354593
66	25482	354849
67	25921	355275
68	26466	357109
69	26809	356180
70	27226	356250
71	27572	355379
72	27919	354545
73	28382	355159
74	28834	355623
75	29265	355809
76	29719	356244
77	30038	355071
78	30353	353872
79	30745	353569
80	31120	353086
81	31462	352224
82	31838	351756
83	32209	351236
84	32569	350598
85	32946	350151
86	33292	349381
87	33632	348559
88	33982	347843
89	34311	346932
90	34636	345981
91	34972	345163
92	35310	344376
93	35687	343962
94	36047	343398
95	36400	342773
96	36733	341958
97	37164	342062
98	37495	341249
99	37814	340333
100	38130	339402
101	38491	338874
102	38811	337999
103	39149	337285
104	39477	336498
105	39825	335889
106	40138	334991
107	40440	334005
108	40811	333602
109	41118	332683
110	41467	332110
111	41804	331451
112	42283	331905
113	42626	331287
114	42953	330551
115	43276	329798
116	43605	329091
117	43928	328346
118	44247	327580
119	44590	326998
120	44949	326531
121	45305	326048
122	45702	325861
123	46038	325239
124	46360	324521
125	46692	323885
126	47005	323115
127	47329	322432
128	47669	321861
129	48071	321709
130	48458	321455
131	48825	321063
132	49180	320595
133	49509	319961
134	49835	319316
135	50164	318691
136	50491	318058
137	50879	317812
138	51236	317373
139	51530	316542
140	51876	316039
141	52284	315918
142	52641	315481
143	52966	314854
144	53272	314122
145	53601	313534
146	53953	313078
147	54312	312666
148	54678	312292
149	55053	311967
150	55395	311463
151	55750	311026
152	56129	310727
153	56461	310174
154	56804	309674
155	57142	309152
156	57575	309149
157	58016	309177
158	58365	308714
159	58781	308601
160	59159	308288
161	59485	307710
162	59867	307416
163	60241	307085
164	60650	306927
165	61012	306534
166	61356	306048
167	61697	305549
168	62075	305235
169	62464	304972
170	62783	304370
171	63155	304029
172	63482	303467
173	63830	303012
174	64181	302571
175	64522	302082
176	64877	301661
177	65230	301232
178	65600	300883
179	65910	300260
180	66263	299831
181	66552	299121
182	66888	298622
183	67211	298067
184	67469	297231
185	67815	296782
186	68146	296274
187	68437	295590
188	68782	295145
189	69102	294593
190	69459	294201
191	69772	293626
192	70124	293213
193	70438	292646
194	70768	292145
195	71096	291639
196	71450	291243
197	71781	290749
198	72089	290167
199	72412	289650
200	72729	289110
201	73062	288633
202	73368	288052
203	73719	287650
204	74012	287024
205	74346	286557
206	74619	285862
207	74944	285365
208	75257	284824
209	75531	284141
210	75856	283653
211	76217	283299
212	76526	282751
213	76824	282170
214	77160	281725
215	77452	281123
216	77780	280654
217	78108	280186
218	78401	279595
219	78739	279168
220	79060	278680
221	79379	278187
222	79709	277732
223	80042	277290
224	80365	276814
225	80635	276159
226	80969	275724
227	81293	275256
228	81586	274686
229	81915	274239
230	82181	273583
231	82517	273162
232	82796	272554
233	83064	271911
234	83349	271329
235	83659	270828
236	83962	270308
237	84304	269914
238	84624	269452
239	84973	269083
240	85226	268409
241	85537	267924
242	85853	267453
243	86178	267013
244	86514	266605
245	86861	266233
246	87208	265861
247	87550	265476
248	87915	265159
249	88236	264708
250	88557	264259
251	88892	263856
252	89201	263373
253	89556	263028
254	89889	262618
255	90162	262033
256	90485	261597
257	90783	261090
258	91108	260662
259	91439	260249
260	91754	259794
261	92035	259245
262	92360	258819
263	92699	258434
264	93048	258078
265	93379	257670
266	93700	257236
267	93968	256659
268	94288	256227
269	94608	255794
270	94904	255297
271	95238	254903
272	95550	254452
273	95897	254093
274	96197	253612
275	96535	253229
276	96811	252688
277	97154	252322
278	97456	251849
279	97779	251432
280	98089	250982
281	98428	250609
282	98752	250197
283	99108	249863
284	99431	249450
285	99763	249059
286	100092	248660
287	100418	248256
288	100752	247871
289	101107	247539
290	101431	247129
291	101663	246499
292	101978	246070
293	102298	245656
294	102626	245259
295	102945	244844
296	103241	244372
297	103556	243948
298	103864	243507
299	104123	242954
300	104419	242489
301	104768	242146
302	105094	241751
303	105416	241348
304	105755	240982
305	106085	240600
306	106371	240115
307	106742	239824
308	107034	239355
309	107430	239119
310	107740	238691
311	108051	238266
312	108339	237792
313	108641	237350
314	108962	236949
315	109298	236582
316	109626	236198
317	109990	235890
318	110303	235474
319	110627	235084
320	110980	234754
321	111288	234327
322	111629	233972
323	111947	233568
324	112264	233164
325	112599	232798
326	112889	232338
327	113229	231981
328	113540	231567
329	113878	231206
330	114177	230768
331	114482	230343
332	114805	229954
333	115120	229551
334	115422	229122
335	115727	228699
336	116018	228249
337	116371	227923
338	116704	227556
339	117043	227201
340	117327	226740
341	117660	226375
342	117982	225990
343	118335	225662
344	118653	225270
345	118944	224825
346	119254	224417
347	119575	224032
348	119834	223531
349	120127	223093
350	120470	222749
351	120773	222333
352	121042	221853
353	121366	221475
354	121698	221113
355	122036	220761
356	122302	220280
357	122589	219838
358	122922	219479
359	123242	219097
360	123556	218704
361	123904	218372
362	124249	218036
363	124553	217626
364	124915	217318
365	125260	216981
366	125544	216538
367	125870	216169
368	126177	215766
369	126498	215389
370	126806	214989
371	127128	214615
372	127489	214304
373	127828	213958
374	128124	213541
375	128426	213132
376	128717	212708
377	129049	212351
378	129368	211973
379	129696	211609
380	130030	211256
381	130340	210865
382	130644	210463
383	130986	210124
384	131280	209708
385	131596	209326
386	131912	208946
387	132223	208559
388	132575	208235
389	132891	207856
390	133233	207516
391	133608	207229
392	133962	206908
393	134312	206582
394	134642	206224
395	134951	205835
396	135282	205479
397	135582	205076
398	135886	204681
399	136208	204313
400	136579	204017
401	136953	203726
402	137270	203351
403	137641	203054
404	137944	202659
405	138293	202331
406	138642	202002
407	138935	201593
408	139286	201267
409	139608	200899
410	139941	200548
411	140268	200188
412	140594	199827
413	140911	199454
414	141227	199079
415	141558	198727
416	141900	198388
417	142255	198068
418	142596	197728
419	142924	197371
420	143263	197030
421	143609	196698
422	143963	196375
423	144326	196066
424	144676	195738
425	144985	195356
426	145317	195004
427	145648	194652
428	145948	194257
429	146265	193887
430	146547	193469
431	146875	193113
432	147210	192767
433	147553	192431
434	147865	192055
435	148185	191689
436	148528	191353
437	148842	190981
438	149167	190622
439	149490	190260
440	149808	189892
441	150199	189618
442	150564	189310
443	150930	189003
444	151282	188678
445	151633	188352
446	151846	187854
447	152191	187522
448	152524	187173
449	152839	186803
450	153128	186402
451	153463	186057
452	153835	185756
453	154156	185395
454	154520	185085
455	154818	184695
456	155137	184331
457	155463	183976
458	155784	183614
459	156094	183240
460	156434	182902
461	156763	182551
462	157098	182207
463	157435	181865
464	157760	181509
465	158023	181082
466	158452	180846
467	158830	180551
468	159089	180120
469	159434	179787
470	159633	179291
471	159934	178909
472	160268	178566
473	160593	178211
474	160951	177893
475	161287	177551
476	161583	177165
477	161886	176787
478	162169	176388
479	162499	176041
480	162831	175695
481	163128	175312
482	163483	174991
483	163798	174628
484	164119	174271
485	164422	173895
486	164775	173572
487	165115	173236
488	165450	172893
489	165749	172514
490	166086	172175
491	166450	171863
492	166797	171534
493	167138	171198
494	167398	170780
495	167698	170403
496	168010	170038
497	168401	169754
498	168705	169381
499	169078	169078
500	169400	168724
501	169742	168389
502	170128	168099
503	170486	167780
504	170824	167442
505	171134	167076
506	171496	166760
507	171788	166377
508	172103	166017
509	172412	165651
510	172770	165332
511	173077	164964
512	173422	164632
513	173804	164336
514	174186	164039
515	174497	163675
516	174800	163305
517	175146	162974
518	175501	162651
519	175852	162325
520	176227	162021
521	176592	161707
522	176919	161358
523	177336	161091
524	177657	160737
525	178046	160444
526	178389	160110
527	178724	159768
528	179029	159400
529	179316	159016
530	179656	158680
531	179950	158302
532	180283	157959
533	180622	157621
534	180957	157281
535	181278	156928
536	181611	156584
537	181902	156206
538	182255	155881
539	182600	155548
540	182976	155242
541	183348	154932
542	183645	154559
543	184021	154253
544	184443	153984
545	184738	153610
546	185094	153286
547	185438	152952
548	185747	152589
549	186069	152238
550	186433	151921
551	186775	151585
552	187096	151233
553	187405	150871
554	187740	150531
555	188079	150192
556	188427	149862
557	188762	149521
558	189186	149250
559	189481	148878
560	189870	148579
561	190237	148263
562	190547	147903
563	190886	147564
564	191240	147238
565	191573	146895
566	191841	146503
567	192165	146153
568	192489	145804
569	192863	145493
570	193222	145170
571	193560	144832
572	193891	144487
573	194193	144122
574	194515	143771
575	194836	143421
576	195174	143083
577	195433	142687
578	195753	142335
579	196084	141992
580	196425	141655
581	196823	141361
582	197129	141000
583	197429	140634
584	197762	140292
585	198134	139978
586	198412	139598
587	198754	139263
588	199098	138929
589	199525	138653
590	199794	138267
591	200174	137957
592	200515	137622
593	200840	137274
594	201201	136952
595	201519	136600
596	201884	136280
597	202222	135942
598	202582	135618
599	202919	135279
600	203238	134928
601	203628	134624
602	203996	134306
603	204388	134002
604	204728	133665
605	205084	133338
606	205461	133025
607	205801	132687
608	206114	132332
609	206459	131998
610	206772	131644
611	207121	131312
612	207503	131001
613	207842	130663
614	208180	130324
615	208535	129996
616	208815	129621
617	209139	129274
618	209578	128997
619	210012	128717
620	210329	128365
621	210683	128036
622	210975	127668
623	211278	127309
624	211650	126990
625	212012	126665
626	212405	126359
627	212744	126020
